# Au,Cu,Pd,P_NO=1,H,NO_NH3,NO_CN,CO_NO_pairs,P_NO=0.1,H,NO_NH3,NO_CN,CO_NO_pairs
1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
0.9500000000000001,0.05,0.0,,0.0,0.0958,0.003,0.0031,,0.0,0.0129,0.002,0.0021
0.9500000000000001,0.0,0.05,,0.0056,0.0418,0.0063,0.0065,,0.0083,0.0175,0.0021,0.0022
0.9,0.1,0.0,,0.0,0.2136,0.0091,0.0091,,0.0,0.0284,0.0095,0.0107
0.9,0.05,0.05,,0.0068,0.1309,0.0201,0.0208,,0.0085,0.0339,0.0105,0.0115
0.9,0.0,0.1,,0.0251,0.0889,0.0185,0.0197,,0.0289,0.0564,0.0121,0.013
0.8500000000000001,0.15000000000000002,0.0,,0.0,0.2792,0.0176,0.0181,,0.0,0.0364,0.0196,0.0221
0.8500000000000001,0.1,0.05,,0.0082,0.2189,0.031,0.0325,,0.0084,0.0399,0.0184,0.0212
0.8500000000000001,0.05,0.1,,0.0292,0.1753,0.042,0.0443,,0.0284,0.0508,0.0176,0.019
0.8500000000000001,0.0,0.15000000000000002,,0.0572,0.1321,0.0327,0.0353,,0.0648,0.0836,0.0215,0.0233
0.8,0.2,0.0,,0.0,0.3829,0.026,0.0267,,0.0,0.0528,0.0312,0.0372
0.8,0.15000000000000002,0.05,,0.0108,0.3019,0.0481,0.0499,,0.0111,0.036,0.0204,0.024
0.8,0.1,0.1,,0.0291,0.2403,0.0555,0.0603,,0.0294,0.0709,0.0367,0.0432
0.8,0.05,0.15000000000000002,,0.0661,0.2036,0.0535,0.0573,,0.0629,0.0947,0.04,0.0456
0.8,0.0,0.2,,0.1012,0.1624,0.0454,0.0499,,0.1038,0.1119,0.0334,0.0361
0.75,0.25,0.0,,0.0,0.4599,0.0306,0.0314,,0.0,0.0519,0.0419,0.0513
0.75,0.2,0.05,,0.0127,0.3634,0.0584,0.0608,,0.0127,0.0643,0.0431,0.0524
0.75,0.15000000000000002,0.1,,0.0307,0.2781,0.0693,0.0738,,0.0378,0.0892,0.0573,0.0672
0.75,0.1,0.15000000000000002,,0.0662,0.2519,0.074,0.0818,,0.063,0.0995,0.0539,0.0613
0.75,0.05,0.2,,0.1044,0.2235,0.0634,0.0699,,0.1006,0.118,0.0532,0.0596
0.75,0.0,0.25,,0.1502,0.1939,0.0558,0.0598,,0.153,0.1505,0.0482,0.0528
0.7000000000000001,0.30000000000000004,0.0,,0.0,0.5286,0.0346,0.0349,,0.0,0.0501,0.0483,0.0594
0.7000000000000001,0.25,0.05,,0.0141,0.4168,0.0669,0.0704,,0.0164,0.0822,0.0668,0.0812
0.7000000000000001,0.2,0.1,,0.0384,0.3788,0.0825,0.0876,,0.0433,0.1051,0.0751,0.0879
0.7000000000000001,0.15000000000000002,0.15000000000000002,,0.0674,0.3167,0.079,0.087,,0.0657,0.1171,0.07,0.0814
0.7000000000000001,0.1,0.2,,0.1111,0.2868,0.0758,0.0815,,0.1158,0.154,0.0784,0.0898
0.7000000000000001,0.05,0.25,,0.1555,0.2543,0.0683,0.0742,,0.1595,0.1567,0.0631,0.0714
0.7000000000000001,0.0,0.30000000000000004,,0.2222,0.232,0.0544,0.0581,,0.213,0.1762,0.05,0.0539
0.65,0.35000000000000003,0.0,,0.0,0.5749,0.0414,0.0429,,0.0,0.0478,0.0622,0.0786
0.65,0.30000000000000004,0.05,,0.016,0.4739,0.0711,0.0749,,0.0172,0.0666,0.0679,0.0842
0.65,0.25,0.1,,0.0426,0.4409,0.0837,0.0892,,0.0452,0.0827,0.082,0.098
0.65,0.2,0.15000000000000002,,0.0697,0.3568,0.0923,0.1001,,0.0726,0.1132,0.0908,0.1086
0.65,0.15000000000000002,0.2,,0.1193,0.3362,0.0872,0.0948,,0.1133,0.1465,0.0813,0.0926
0.65,0.1,0.25,,0.1619,0.3077,0.0793,0.0868,,0.1638,0.1688,0.0822,0.0929
0.65,0.05,0.30000000000000004,,0.2139,0.279,0.0688,0.0745,,0.2247,0.1655,0.0507,0.0563
0.65,0.0,0.35000000000000003,,0.2775,0.2427,0.056,0.0619,,0.2834,0.2017,0.0461,0.0495
0.6000000000000001,0.4,0.0,,0.0,0.6038,0.0468,0.0484,,0.0,0.0479,0.0749,0.0988
0.6000000000000001,0.35000000000000003,0.05,,0.0205,0.5545,0.07,0.0731,,0.0214,0.0757,0.0881,0.1113
0.6000000000000001,0.30000000000000004,0.1,,0.0489,0.4899,0.0869,0.0925,,0.0523,0.0785,0.0761,0.0935
0.6000000000000001,0.25,0.15000000000000002,,0.0861,0.439,0.0948,0.0998,,0.0838,0.0971,0.0855,0.1046
0.6000000000000001,0.2,0.2,,0.1186,0.3779,0.0995,0.1062,,0.1278,0.1261,0.0819,0.0975
0.6000000000000001,0.15000000000000002,0.25,,0.1744,0.3659,0.0817,0.0881,,0.1761,0.1629,0.0786,0.0894
0.6000000000000001,0.1,0.30000000000000004,,0.2194,0.3164,0.0737,0.0799,,0.2251,0.1966,0.0752,0.0857
0.6000000000000001,0.05,0.35000000000000003,,0.2757,0.3025,0.0629,0.0682,,0.2901,0.2074,0.0608,0.0658
0.6000000000000001,0.0,0.4,,0.3412,0.2607,0.052,0.0549,,0.3463,0.1973,0.0419,0.0449
0.55,0.45,0.0,,0.0,0.6832,0.0439,0.0448,,0.0,0.0498,0.0804,0.1061
0.55,0.4,0.05,,0.0253,0.6062,0.0696,0.0722,,0.027,0.0431,0.0676,0.0896
0.55,0.35000000000000003,0.1,,0.0546,0.5318,0.0886,0.0931,,0.0561,0.0855,0.09,0.115
0.55,0.30000000000000004,0.15000000000000002,,0.091,0.4818,0.0934,0.0995,,0.0978,0.0904,0.0808,0.1007
0.55,0.25,0.2,,0.1345,0.4507,0.0902,0.0964,,0.1408,0.1194,0.0796,0.0942
0.55,0.2,0.25,,0.185,0.4002,0.0874,0.0949,,0.1771,0.1657,0.0873,0.1016
0.55,0.15000000000000002,0.30000000000000004,,0.2264,0.3737,0.0748,0.081,,0.2393,0.2036,0.083,0.0936
0.55,0.1,0.35000000000000003,,0.2914,0.3319,0.0702,0.075,,0.2909,0.2082,0.0714,0.0793
0.55,0.05,0.4,,0.3564,0.3105,0.0565,0.0603,,0.3501,0.2174,0.0566,0.0598
0.55,0.0,0.45,,0.435,0.2711,0.0384,0.0397,,0.4275,0.2164,0.0345,0.0356
0.5,0.5,0.0,,0.0,0.7271,0.0364,0.0373,,0.0,0.0416,0.0786,0.1102
0.5,0.45,0.05,,0.0317,0.6655,0.0597,0.0615,,0.0283,0.0335,0.0636,0.0882
0.5,0.4,0.1,,0.0607,0.5745,0.0848,0.0883,,0.0653,0.1135,0.115,0.1391
0.5,0.35000000000000003,0.15000000000000002,,0.1031,0.5289,0.0849,0.0905,,0.1012,0.1136,0.1014,0.1254
0.5,0.30000000000000004,0.2,,0.1523,0.4889,0.0847,0.0897,,0.1488,0.1442,0.0968,0.1151
0.5,0.25,0.25,,0.1881,0.4452,0.0869,0.0927,,0.1914,0.1931,0.1015,0.1212
0.5,0.2,0.30000000000000004,,0.2455,0.4063,0.0752,0.0812,,0.2354,0.1912,0.0911,0.1035
0.5,0.15000000000000002,0.35000000000000003,,0.2986,0.3855,0.0627,0.0666,,0.3004,0.2151,0.0712,0.0806
0.5,0.1,0.4,,0.3668,0.3336,0.0579,0.0622,,0.3591,0.2346,0.0587,0.0638
0.5,0.05,0.45,,0.4239,0.3106,0.0437,0.0454,,0.4335,0.2371,0.0488,0.0519
0.5,0.0,0.5,,0.4936,0.2715,0.031,0.0319,,0.5044,0.2176,0.0303,0.0312
0.45,0.55,0.0,,0.0,0.7488,0.0359,0.0369,,0.0,0.0323,0.0764,0.108
0.45,0.5,0.05,,0.0333,0.6996,0.0554,0.0569,,0.0304,0.0435,0.0764,0.1067
0.45,0.45,0.1,,0.0647,0.6379,0.0747,0.0775,,0.066,0.044,0.0786,0.1027
0.45,0.4,0.15000000000000002,,0.1068,0.5684,0.0857,0.0896,,0.1098,0.1283,0.109,0.1308
0.45,0.35000000000000003,0.2,,0.1557,0.5173,0.0869,0.0916,,0.1523,0.1197,0.092,0.1125
0.45,0.30000000000000004,0.25,,0.1951,0.4844,0.0826,0.0881,,0.2121,0.1774,0.0951,0.1094
0.45,0.25,0.30000000000000004,,0.2598,0.4489,0.0729,0.078,,0.2571,0.2256,0.0901,0.1019
0.45,0.2,0.35000000000000003,,0.3251,0.4157,0.0592,0.0622,,0.3179,0.2002,0.0674,0.0741
0.45,0.15000000000000002,0.4,,0.3724,0.3768,0.056,0.0584,,0.3654,0.2327,0.0655,0.0719
0.45,0.1,0.45,,0.4392,0.3396,0.042,0.0443,,0.4267,0.2482,0.0501,0.0548
0.45,0.05,0.5,,0.5029,0.3007,0.0318,0.0335,,0.5167,0.2081,0.0302,0.0318
0.45,0.0,0.55,,0.5763,0.2571,0.0207,0.0209,,0.5809,0.1992,0.0201,0.0207
0.4,0.6000000000000001,0.0,,0.0,0.8025,0.0253,0.0256,,0.0,0.0287,0.0937,0.1388
0.4,0.55,0.05,,0.0388,0.7509,0.0469,0.0474,,0.0359,0.0556,0.1055,0.1451
0.4,0.5,0.1,,0.0788,0.6705,0.0657,0.0678,,0.0783,0.0736,0.1008,0.1276
0.4,0.45,0.15000000000000002,,0.1258,0.6066,0.0717,0.0743,,0.1195,0.0937,0.1013,0.1262
0.4,0.4,0.2,,0.1696,0.5635,0.0775,0.0806,,0.1652,0.1384,0.1075,0.1288
0.4,0.35000000000000003,0.25,,0.2239,0.52,0.0707,0.0744,,0.2235,0.1949,0.0953,0.1085
0.4,0.30000000000000004,0.30000000000000004,,0.2721,0.4787,0.0626,0.0655,,0.2705,0.2129,0.088,0.1003
0.4,0.25,0.35000000000000003,,0.333,0.4444,0.0554,0.058,,0.3301,0.2149,0.0749,0.0825
0.4,0.2,0.4,,0.3872,0.4012,0.0518,0.0545,,0.3878,0.2418,0.0672,0.0726
0.4,0.15000000000000002,0.45,,0.4545,0.3507,0.0389,0.0404,,0.4481,0.2275,0.0465,0.049
0.4,0.1,0.5,,0.5179,0.3219,0.0301,0.0316,,0.5123,0.2367,0.0304,0.0323
0.4,0.05,0.55,,0.5819,0.2799,0.0235,0.0241,,0.5808,0.2092,0.0261,0.0277
0.4,0.0,0.6000000000000001,,0.6446,0.2348,0.0171,0.0176,,0.638,0.1843,0.0134,0.0141
0.35000000000000003,0.65,0.0,,0.0,0.8465,0.0195,0.0198,,0.0,0.0374,0.0994,0.1433
0.35000000000000003,0.6000000000000001,0.05,,0.0425,0.7751,0.0387,0.0387,,0.0408,0.0448,0.0939,0.1333
0.35000000000000003,0.55,0.1,,0.0842,0.7116,0.0515,0.0533,,0.0855,0.0711,0.1031,0.136
0.35000000000000003,0.5,0.15000000000000002,,0.1281,0.6554,0.0616,0.0642,,0.1341,0.0745,0.0925,0.1204
0.35000000000000003,0.45,0.2,,0.1839,0.6001,0.0593,0.0619,,0.1855,0.1457,0.1037,0.1258
0.35000000000000003,0.4,0.25,,0.2392,0.5507,0.0594,0.0619,,0.2405,0.1936,0.0934,0.1077
0.35000000000000003,0.35000000000000003,0.30000000000000004,,0.2952,0.5235,0.0514,0.0536,,0.2885,0.2346,0.087,0.0966
0.35000000000000003,0.30000000000000004,0.35000000000000003,,0.3426,0.4823,0.0476,0.0498,,0.3418,0.2209,0.073,0.083
0.35000000000000003,0.25,0.4,,0.407,0.4349,0.0409,0.0425,,0.4049,0.2402,0.0611,0.0674
0.35000000000000003,0.2,0.45,,0.4591,0.3837,0.0362,0.0378,,0.4602,0.2237,0.0468,0.0496
0.35000000000000003,0.15000000000000002,0.5,,0.5214,0.3479,0.0273,0.0288,,0.5205,0.244,0.037,0.0394
0.35000000000000003,0.1,0.55,,0.5916,0.2926,0.0209,0.0219,,0.5814,0.221,0.0262,0.0279
0.35000000000000003,0.05,0.6000000000000001,,0.6522,0.2602,0.0119,0.0121,,0.6514,0.1817,0.017,0.0174
0.35000000000000003,0.0,0.65,,0.7169,0.197,0.0092,0.0093,,0.7212,0.1535,0.0069,0.0072
0.30000000000000004,0.7000000000000001,0.0,,0.0,0.8783,0.0153,0.0153,,0.0,0.0344,0.1132,0.1682
0.30000000000000004,0.65,0.05,,0.0421,0.8183,0.0292,0.0297,,0.046,0.0534,0.1072,0.1462
0.30000000000000004,0.6000000000000001,0.1,,0.0927,0.7642,0.0339,0.0342,,0.0929,0.0588,0.1003,0.135
0.30000000000000004,0.55,0.15000000000000002,,0.1332,0.6793,0.053,0.0552,,0.1352,0.1,0.1037,0.133
0.30000000000000004,0.5,0.2,,0.199,0.6337,0.0513,0.0533,,0.1845,0.1117,0.0964,0.1235
0.30000000000000004,0.45,0.25,,0.2524,0.5864,0.05,0.0515,,0.2405,0.1309,0.0863,0.1009
0.30000000000000004,0.4,0.30000000000000004,,0.3103,0.5175,0.0527,0.0547,,0.3035,0.2042,0.085,0.0964
0.30000000000000004,0.35000000000000003,0.35000000000000003,,0.3768,0.492,0.04,0.0414,,0.3515,0.2573,0.0761,0.0831
0.30000000000000004,0.30000000000000004,0.4,,0.4303,0.4456,0.0345,0.0353,,0.4224,0.2062,0.055,0.0602
0.30000000000000004,0.25,0.45,,0.4866,0.385,0.0341,0.0355,,0.485,0.217,0.0432,0.046
0.30000000000000004,0.2,0.5,,0.532,0.3628,0.026,0.0266,,0.5457,0.2125,0.0352,0.038
0.30000000000000004,0.15000000000000002,0.55,,0.6022,0.3151,0.0171,0.0175,,0.5923,0.2018,0.0231,0.0241
0.30000000000000004,0.1,0.6000000000000001,,0.6565,0.2681,0.0133,0.0137,,0.6657,0.1743,0.0154,0.0159
0.30000000000000004,0.05,0.65,,0.7237,0.2087,0.0098,0.0098,,0.7259,0.1394,0.0063,0.0063
0.30000000000000004,0.0,0.7000000000000001,,0.783,0.1646,0.0056,0.0056,,0.7827,0.1154,0.0043,0.0044
0.25,0.75,0.0,,0.0,0.8938,0.0132,0.0135,,0.0,0.0387,0.1215,0.1913
0.25,0.7000000000000001,0.05,,0.0467,0.8417,0.0238,0.0241,,0.05,0.053,0.1175,0.1692
0.25,0.65,0.1,,0.1012,0.7775,0.0315,0.0316,,0.09,0.0751,0.121,0.1635
0.25,0.6000000000000001,0.15000000000000002,,0.1521,0.7161,0.0373,0.0381,,0.1401,0.0857,0.1101,0.1425
0.25,0.55,0.2,,0.2022,0.6373,0.05,0.0512,,0.2016,0.1279,0.099,0.123
0.25,0.5,0.25,,0.2495,0.6172,0.0428,0.0437,,0.2511,0.1394,0.0909,0.1084
0.25,0.45,0.30000000000000004,,0.3279,0.5521,0.0373,0.0383,,0.3293,0.2159,0.0756,0.0841
0.25,0.4,0.35000000000000003,,0.3681,0.5117,0.0352,0.0363,,0.3605,0.1898,0.066,0.0747
0.25,0.35000000000000003,0.4,,0.4384,0.4695,0.027,0.0273,,0.4441,0.199,0.0507,0.0549
0.25,0.30000000000000004,0.45,,0.4957,0.4238,0.0215,0.0215,,0.5051,0.2085,0.0427,0.046
0.25,0.25,0.5,,0.5602,0.3628,0.0177,0.0181,,0.5601,0.2111,0.0301,0.032
0.25,0.2,0.55,,0.6069,0.3269,0.0125,0.0128,,0.6094,0.2037,0.022,0.0238
0.25,0.15000000000000002,0.6000000000000001,,0.6733,0.2688,0.0084,0.0084,,0.6712,0.1766,0.015,0.0159
0.25,0.1,0.65,,0.7319,0.2209,0.0065,0.0066,,0.7238,0.1641,0.0093,0.0097
0.25,0.05,0.7000000000000001,,0.7868,0.1776,0.0042,0.0043,,0.7938,0.1032,0.0042,0.0042
0.25,0.0,0.75,,0.8485,0.1159,0.0016,0.0016,,0.848,0.0872,0.0007,0.0007
0.2,0.8,0.0,,0.0,0.9338,0.0066,0.0067,,0.0,0.0332,0.1295,0.1991
0.2,0.75,0.05,,0.0431,0.8874,0.0134,0.0135,,0.0438,0.0471,0.1269,0.1856
0.2,0.7000000000000001,0.1,,0.0991,0.8143,0.018,0.0182,,0.0908,0.064,0.1157,0.1608
0.2,0.65,0.15000000000000002,,0.1378,0.7698,0.0281,0.0285,,0.1492,0.0995,0.1215,0.1572
0.2,0.6000000000000001,0.2,,0.2036,0.7156,0.0268,0.0269,,0.2081,0.1074,0.1029,0.1254
0.2,0.55,0.25,,0.2628,0.6547,0.0258,0.026,,0.2576,0.2165,0.1038,0.1196
0.2,0.5,0.30000000000000004,,0.3226,0.5839,0.0287,0.0289,,0.3296,0.1176,0.0672,0.0789
0.2,0.45,0.35000000000000003,,0.3814,0.5377,0.0234,0.0239,,0.399,0.281,0.0647,0.0695
0.2,0.4,0.4,,0.4462,0.472,0.0245,0.0251,,0.4587,0.2287,0.0491,0.0531
0.2,0.35000000000000003,0.45,,0.513,0.4176,0.0191,0.0196,,0.5046,0.2456,0.0407,0.0446
0.2,0.30000000000000004,0.5,,0.56,0.3698,0.017,0.0173,,0.5794,0.1793,0.0245,0.0252
0.2,0.25,0.55,,0.6359,0.325,0.0081,0.0081,,0.631,0.1295,0.0172,0.0183
0.2,0.2,0.6000000000000001,,0.6847,0.2716,0.0091,0.0093,,0.6842,0.1744,0.0124,0.0128
0.2,0.15000000000000002,0.65,,0.7365,0.228,0.005,0.005,,0.7505,0.1343,0.0065,0.0066
0.2,0.1,0.7000000000000001,,0.7958,0.1719,0.0026,0.0026,,0.7958,0.1291,0.0047,0.0048
0.2,0.05,0.75,,0.857,0.1205,0.0008,0.0008,,0.8368,0.0881,0.0018,0.0018
0.2,0.0,0.8,,0.8974,0.0841,0.0004,0.0004,,0.8991,0.0451,0.0007,0.0007
0.15000000000000002,0.8500000000000001,0.0,,0.0,0.9434,0.0032,0.0032,,0.0,0.0463,0.1445,0.2164
0.15000000000000002,0.8,0.05,,0.0383,0.8942,0.0133,0.0133,,0.0434,0.0442,0.135,0.2005
0.15000000000000002,0.75,0.1,,0.0879,0.8621,0.0121,0.0121,,0.0945,0.0742,0.1325,0.1808
0.15000000000000002,0.7000000000000001,0.15000000000000002,,0.1424,0.7773,0.0192,0.0194,,0.1386,0.0944,0.1234,0.1612
0.15000000000000002,0.65,0.2,,0.2087,0.7149,0.0231,0.0232,,0.1993,0.0871,0.1055,0.1345
0.15000000000000002,0.6000000000000001,0.25,,0.2638,0.6733,0.0162,0.0167,,0.2594,0.1842,0.1064,0.1253
0.15000000000000002,0.55,0.30000000000000004,,0.3194,0.6049,0.023,0.0232,,0.3132,0.1612,0.0809,0.0963
0.15000000000000002,0.5,0.35000000000000003,,0.3876,0.5538,0.0186,0.0187,,0.3833,0.1978,0.0715,0.0816
0.15000000000000002,0.45,0.4,,0.4556,0.4971,0.0146,0.0148,,0.442,0.1775,0.052,0.0574
0.15000000000000002,0.4,0.45,,0.5147,0.4364,0.0142,0.0142,,0.5309,0.2707,0.0336,0.0356
0.15000000000000002,0.35000000000000003,0.5,,0.5853,0.3775,0.0103,0.0103,,0.5841,0.2444,0.0246,0.0254
0.15000000000000002,0.30000000000000004,0.55,,0.6425,0.3213,0.0083,0.0084,,0.6509,0.1731,0.0169,0.0178
0.15000000000000002,0.25,0.6000000000000001,,0.6992,0.2709,0.0054,0.0054,,0.7014,0.1293,0.0122,0.0127
0.15000000000000002,0.2,0.65,,0.7536,0.2216,0.0041,0.0041,,0.7612,0.1234,0.0063,0.0063
0.15000000000000002,0.15000000000000002,0.7000000000000001,,0.8042,0.1778,0.0018,0.0018,,0.806,0.0871,0.0042,0.0043
0.15000000000000002,0.1,0.75,,0.8531,0.1322,0.0008,0.0008,,0.854,0.0587,0.0022,0.0022
0.15000000000000002,0.05,0.8,,0.8902,0.0994,0.0001,0.0001,,0.902,0.0387,0.0007,0.0008
0.15000000000000002,0.0,0.8500000000000001,,0.936,0.0521,0.0003,0.0003,,0.9392,0.0033,0.0,0.0
0.1,0.9,0.0,,0.0,0.9719,0.0015,0.0015,,0.0,0.0455,0.1603,0.2484
0.1,0.8500000000000001,0.05,,0.0376,0.9083,0.0059,0.0059,,0.0363,0.0512,0.15,0.2236
0.1,0.8,0.1,,0.0785,0.8824,0.0062,0.0062,,0.081,0.0814,0.1454,0.2037
0.1,0.75,0.15000000000000002,,0.1335,0.8261,0.0092,0.0094,,0.1284,0.0712,0.1164,0.1655
0.1,0.7000000000000001,0.2,,0.193,0.7585,0.0146,0.0148,,0.1831,0.1011,0.1179,0.1549
0.1,0.65,0.25,,0.2422,0.702,0.0151,0.0152,,0.2517,0.0767,0.0903,0.118
0.1,0.6000000000000001,0.30000000000000004,,0.3131,0.6395,0.0135,0.0137,,0.3046,0.1628,0.0893,0.1073
0.1,0.55,0.35000000000000003,,0.3708,0.5687,0.0178,0.0179,,0.3781,0.1455,0.0639,0.0737
0.1,0.5,0.4,,0.443,0.5117,0.0124,0.0124,,0.4519,0.1656,0.0513,0.0558
0.1,0.45,0.45,,0.512,0.4511,0.0096,0.0097,,0.5252,0.1571,0.0357,0.0392
0.1,0.4,0.5,,0.586,0.3842,0.0067,0.0068,,0.5774,0.2367,0.0266,0.0277
0.1,0.35000000000000003,0.55,,0.6388,0.3194,0.0078,0.0078,,0.6427,0.203,0.0171,0.0176
0.1,0.30000000000000004,0.6000000000000001,,0.7033,0.2656,0.0047,0.0047,,0.6996,0.1689,0.0113,0.0117
0.1,0.25,0.65,,0.7538,0.2289,0.0031,0.0032,,0.7763,0.1135,0.0044,0.0044
0.1,0.2,0.7000000000000001,,0.8248,0.1625,0.0012,0.0012,,0.8186,0.1131,0.0032,0.0032
0.1,0.15000000000000002,0.75,,0.8618,0.128,0.0009,0.0009,,0.868,0.0645,0.0012,0.0013
0.1,0.1,0.8,,0.9097,0.0815,0.0,0.0,,0.9064,0.0426,0.0009,0.0009
0.1,0.05,0.8500000000000001,,0.9374,0.049,0.0001,0.0001,,0.9428,0.0046,0.0,0.0
0.1,0.0,0.9,,0.9745,0.0176,0.0,0.0,,0.9689,0.0002,0.0,0.0
0.05,0.9500000000000001,0.0,,0.0,0.9726,0.0009,0.0009,,0.0,0.067,0.1855,0.2748
0.05,0.9,0.05,,0.028,0.9469,0.0014,0.0014,,0.0243,0.0421,0.1648,0.2522
0.05,0.8500000000000001,0.1,,0.0594,0.8971,0.0049,0.0049,,0.0591,0.0409,0.1426,0.224
0.05,0.8,0.15000000000000002,,0.1042,0.8579,0.0047,0.0047,,0.0985,0.0489,0.1396,0.2022
0.05,0.75,0.2,,0.1487,0.807,0.0097,0.0098,,0.1528,0.0562,0.1229,0.1722
0.05,0.7000000000000001,0.25,,0.2091,0.7539,0.0093,0.0093,,0.2114,0.0834,0.1152,0.1507
0.05,0.65,0.30000000000000004,,0.2876,0.6612,0.0098,0.0098,,0.2761,0.1371,0.1054,0.1271
0.05,0.6000000000000001,0.35000000000000003,,0.3527,0.6079,0.0097,0.0097,,0.3535,0.165,0.0827,0.0954
0.05,0.55,0.4,,0.4116,0.5543,0.0092,0.0094,,0.4259,0.1533,0.0615,0.0699
0.05,0.5,0.45,,0.5028,0.4678,0.0061,0.0061,,0.5009,0.2099,0.0445,0.0477
0.05,0.45,0.5,,0.5698,0.4062,0.0059,0.0059,,0.5715,0.1642,0.0275,0.03
0.05,0.4,0.55,,0.6445,0.3314,0.0044,0.0044,,0.6491,0.208,0.0171,0.0174
0.05,0.35000000000000003,0.6000000000000001,,0.7118,0.2733,0.0021,0.0021,,0.7147,0.1289,0.0103,0.0107
0.05,0.30000000000000004,0.65,,0.7771,0.2147,0.0012,0.0012,,0.775,0.1442,0.0038,0.0038
0.05,0.25,0.7000000000000001,,0.825,0.1611,0.0005,0.0005,,0.8349,0.0533,0.0019,0.0019
0.05,0.2,0.75,,0.874,0.1165,0.0001,0.0001,,0.8762,0.0532,0.0011,0.0011
0.05,0.15000000000000002,0.8,,0.9165,0.0781,0.0003,0.0003,,0.9117,0.0272,0.0003,0.0003
0.05,0.1,0.8500000000000001,,0.9497,0.0432,0.0,0.0,,0.9442,0.0083,0.0002,0.0002
0.05,0.05,0.9,,0.9722,0.0227,0.0,0.0,,0.9753,0.0002,0.0,0.0
0.05,0.0,0.9500000000000001,,0.9907,0.0015,0.0,0.0,,0.9938,0.0,0.0,0.0
0.0,1.0,0.0,,0.0,0.9648,0.0003,0.0003,,0.0,0.089,0.1988,0.2872
0.0,0.9500000000000001,0.05,,0.0085,0.9529,0.0009,0.0009,,0.0076,0.0441,0.1798,0.2827
0.0,0.9,0.1,,0.026,0.9361,0.0028,0.0028,,0.0298,0.0448,0.1658,0.262
0.0,0.8500000000000001,0.15000000000000002,,0.0624,0.9065,0.0032,0.0032,,0.0648,0.0339,0.1457,0.2309
0.0,0.8,0.2,,0.114,0.8207,0.0096,0.0097,,0.1096,0.0464,0.1286,0.1986
0.0,0.75,0.25,,0.1648,0.7961,0.0082,0.0084,,0.1641,0.0523,0.1193,0.1745
0.0,0.7000000000000001,0.30000000000000004,,0.2172,0.742,0.0123,0.0123,,0.2356,0.0772,0.1097,0.1476
0.0,0.65,0.35000000000000003,,0.2976,0.6565,0.0095,0.0095,,0.2941,0.0977,0.0957,0.1199
0.0,0.6000000000000001,0.4,,0.3805,0.5742,0.0097,0.0098,,0.3742,0.0853,0.0659,0.081
0.0,0.55,0.45,,0.4672,0.5023,0.0057,0.0057,,0.4694,0.18,0.0501,0.0556
0.0,0.5,0.5,,0.5431,0.4285,0.0047,0.0047,,0.5484,0.1854,0.0342,0.0361
0.0,0.45,0.55,,0.6186,0.3641,0.0028,0.0028,,0.62,0.2182,0.0196,0.0207
0.0,0.4,0.6000000000000001,,0.6895,0.2785,0.0027,0.0027,,0.6957,0.2112,0.0088,0.0092
0.0,0.35000000000000003,0.65,,0.7616,0.2225,0.0015,0.0015,,0.762,0.1606,0.0044,0.0044
0.0,0.30000000000000004,0.7000000000000001,,0.8302,0.1611,0.0002,0.0002,,0.8316,0.0581,0.0022,0.0024
0.0,0.25,0.75,,0.8757,0.116,0.0,0.0,,0.873,0.039,0.0013,0.0013
0.0,0.2,0.8,,0.9181,0.0762,0.0,0.0,,0.9144,0.0241,0.0005,0.0005
0.0,0.15000000000000002,0.8500000000000001,,0.9502,0.0402,0.0,0.0,,0.9502,0.0037,0.0,0.0
0.0,0.1,0.9,,0.976,0.017,0.0,0.0,,0.9766,0.0002,0.0,0.0
0.0,0.05,0.9500000000000001,,0.9941,0.0006,0.0,0.0,,0.9937,0.0003,0.0,0.0
0.0,0.0,1.0,,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0
